Date,Store_ID,City,Product_ID,Product_Name,Category,Units_Sold,Price,Discount,Holiday,Season,Weather,Customer_Footfall,Marketing_Spend,Competitor_Price,Inventory_Level,Profit
2024-11-02,S113,Chennai,P4263,Lamp,Home,111,5614.08,36,No,Winter,Cloudy,655,49641.91,8233.13,3342,174623.51
2024-02-20,S119,Ahmedabad,P6772,Milk,Grocery,113,630.2,8,No,Winter,Sunny,130,16137.71,672.84,4847,16399.7
2024-10-29,S110,Kolkata,P3165,Jeans,Fashion,128,3147.3,10,No,Autumn,Cloudy,1036,48401.82,3282.08,2874,64912.74
2024-08-19,S112,Jaipur,P7464,Rice,Grocery,321,461.23,23,No,Monsoon,Cloudy,830,41298.45,678.12,987,65513.17
2025-07-28,S110,Lucknow,P8606,T-Shirt,Fashion,123,3767.12,2,No,Monsoon,Cloudy,1058,6689.9,3538.17,4503,145450.56
2025-12-14,S117,Kolkata,P7797,Cricket Bat,Sports,270,4981.34,2,Yes,Winter,Cloudy,494,22725.77,5770.05,3071,457017.36
2025-10-22,S111,Delhi,P4109,Lamp,Home,210,4770.0,40,No,Autumn,Sunny,153,39552.93,7338.41,1131,430146.96
2024-07-31,S118,Hyderabad,P3417,Jacket,Fashion,214,1828.86,34,Yes,Monsoon,Cloudy,407,6386.39,3075.63,1179,106980.34
2024-09-28,S101,Bangalore,P2862,Sofa,Home,332,8103.69,37,No,Autumn,Sunny,975,25688.1,14581.81,455,840992.56
2024-03-03,S115,Kolkata,P9032,Chair,Home,209,2261.14,38,No,Spring,Rainy,184,7183.39,3783.02,4895,71648.38
2025-04-09,S116,Lucknow,P2874,Chair,Home,241,11689.04,26,No,Spring,Cloudy,978,20537.78,16884.09,2660,951348.01
2025-04-30,S102,Mumbai,P8075,Laptop,Electronics,33,17126.32,3,No,Spring,Cloudy,300,21129.62,19634.92,3564,90133.32
2024-12-26,S103,Lucknow,P3535,Cricket Bat,Sports,262,4053.4,35,No,Winter,Cloudy,285,38367.68,6374.63,3615,282413.11
2024-01-27,S119,Chennai,P5477,Smartphone,Electronics,43,41404.09,9,No,Winter,Stormy,192,7951.86,47316.76,351,402661.33
2025-03-05,S114,Pune,P6105,Jacket,Fashion,175,1075.5,10,No,Spring,Sunny,217,14333.04,1253.06,4078,59736.15
2025-06-08,S103,Pune,P5640,Chair,Home,55,9551.16,14,No,Monsoon,Stormy,162,1376.67,10444.37,1830,115963.93
2024-05-02,S100,Ahmedabad,P3116,Table,Home,102,5551.0,35,No,Summer,Cloudy,197,20456.49,9160.11,3673,98321.7
2025-08-12,S113,Lucknow,P5743,Curtains,Home,402,7101.62,39,Yes,Monsoon,Stormy,791,5318.36,12845.15,2093,835932.52
2024-11-13,S110,Hyderabad,P2251,Milk,Grocery,161,462.54,22,No,Winter,Cloudy,352,12577.17,530.1,1716,30095.81
2024-03-18,S105,Ahmedabad,P8354,Sofa,Home,263,8178.48,28,No,Spring,Sunny,1010,22668.2,10687.07,2350,640547.71
2025-04-07,S101,Delhi,P2257,Bread,Grocery,279,287.95,35,No,Spring,Sunny,971,45543.45,452.52,1642,24068.46
2025-04-06,S103,Pune,P3827,Smartwatch,Electronics,424,6787.1,33,Yes,Spring,Rainy,795,19269.75,9470.21,3448,613623.98
2024-03-08,S110,Mumbai,P5655,Dumbbell,Sports,53,9142.77,9,No,Spring,Cloudy,685,48417.13,10645.24,3310,131553.9
2024-11-13,S117,Kolkata,P9624,Milk,Grocery,117,438.9,23,No,Winter,Cloudy,419,47607.3,542.94,4083,7703.06
2024-10-29,S103,Jaipur,P1618,Tennis Racket,Sports,186,2724.3,10,No,Autumn,Rainy,389,36337.97,2612.63,3084,80630.99
2025-04-04,S107,Jaipur,P8684,Jacket,Fashion,205,2494.23,29,No,Spring,Cloudy,832,25642.43,3427.28,1427,96178.46
2025-05-07,S111,Jaipur,P3042,Smartwatch,Electronics,326,30501.36,28,Yes,Summer,Rainy,945,5493.96,47580.07,3795,3359010.05
2024-03-24,S111,Hyderabad,P2623,Tablet,Electronics,109,34262.9,30,No,Spring,Rainy,1010,22981.47,41682.06,749,1065716.71
2025-06-24,S113,Mumbai,P5934,Milk,Grocery,311,179.34,39,Yes,Monsoon,Stormy,178,6432.04,329.73,4988,16475.15
2024-05-27,S109,Kolkata,P6780,Smartwatch,Electronics,322,28128.87,23,No,Summer,Sunny,1127,27660.02,39669.88,4258,3957579.4
2025-01-17,S108,Delhi,P6649,Rice,Grocery,279,823.2,2,No,Winter,Cloudy,1168,17588.82,875.98,3906,59825.0
2024-03-05,S114,Delhi,P1717,Milk,Grocery,137,279.75,25,No,Spring,Stormy,568,2794.42,389.44,2443,7291.88
2024-05-07,S111,Kolkata,P7334,Curtains,Home,345,11592.34,33,Yes,Summer,Cloudy,219,36626.98,15116.38,1578,1676613.08
2024-10-29,S109,Ahmedabad,P3730,Dumbbell,Sports,110,9678.24,22,No,Autumn,Stormy,612,32334.0,13493.0,569,363037.87
2025-11-26,S105,Delhi,P8179,Dress,Fashion,337,1181.18,23,No,Winter,Cloudy,834,47523.89,1318.8,1356,134701.11
2025-08-10,S104,Jaipur,P6150,Snacks,Grocery,163,147.74,11,No,Monsoon,Stormy,1110,19962.38,169.07,2244,9286.57
2025-12-11,S115,Hyderabad,P2213,Smartphone,Electronics,60,51400.0,20,No,Winter,Cloudy,182,27949.86,60209.23,2557,729234.22
2025-10-15,S105,Pune,P2988,Cricket Bat,Sports,165,716.1,23,No,Autumn,Cloudy,1007,40379.42,944.41,806,17737.83
2025-06-22,S113,Kolkata,P3053,Football,Sports,102,7800.14,33,No,Monsoon,Cloudy,312,44020.05,12620.85,4915,254767.24
2024-02-26,S103,Jaipur,P3697,Jacket,Fashion,272,2105.81,33,Yes,Winter,Cloudy,211,13279.66,3270.35,4612,205715.55
2025-05-29,S105,Lucknow,P3804,Cricket Bat,Sports,226,1793.4,2,No,Summer,Cloudy,481,38580.99,1784.21,348,147166.87
2025-05-09,S107,Kolkata,P2195,Snacks,Grocery,175,355.0,29,No,Summer,Rainy,746,30726.35,471.89,2715,13779.36
2024-04-18,S110,Hyderabad,P5382,Chair,Home,196,3421.04,18,No,Spring,Stormy,906,13165.24,4629.22,1408,156675.59
2024-06-12,S115,Jaipur,P6055,Curtains,Home,222,9858.35,29,No,Monsoon,Rainy,490,29583.86,12004.94,2404,543294.93
2024-01-09,S103,Kolkata,P6992,Jacket,Fashion,217,2238.08,36,No,Winter,Rainy,792,28107.92,3049.59,4230,98301.47
2025-09-17,S103,Bangalore,P7114,Headphones,Electronics,305,30655.28,38,No,Autumn,Stormy,1074,2972.49,42604.62,2828,3789664.85
2024-05-23,S110,Lucknow,P7438,Milk,Grocery,279,392.61,31,No,Summer,Cloudy,1022,40971.69,546.53,997,23109.66
2025-12-05,S100,Lucknow,P4728,Lamp,Home,321,11088.58,39,Yes,Winter,Stormy,352,41261.4,16772.09,4790,1581523.49
2024-06-04,S113,Hyderabad,P8726,Sofa,Home,382,6235.2,20,Yes,Monsoon,Stormy,1126,19464.41,8861.82,3865,818673.72
2025-11-28,S108,Lucknow,P5038,Table,Home,245,8816.64,18,Yes,Winter,Rainy,1051,16535.0,10264.3,2340,725983.98
2024-12-19,S104,Chennai,P2294,Tablet,Electronics,248,35278.6,30,No,Winter,Rainy,463,41569.63,46937.66,4704,3650401.71
2024-09-02,S107,Delhi,P4814,Cricket Bat,Sports,204,8577.1,30,No,Autumn,Sunny,331,1253.89,12438.09,1393,536756.21
2024-10-21,S110,Chennai,P4804,Laptop,Electronics,50,66877.27,11,No,Autumn,Sunny,863,39610.07,68071.55,2471,1205403.73
2024-12-09,S109,Ahmedabad,P9092,Tennis Racket,Sports,23,3402.87,7,No,Winter,Cloudy,382,36824.84,3821.77,1625,17924.06
2025-08-04,S106,Bangalore,P8007,Dumbbell,Sports,74,10777.1,6,No,Monsoon,Rainy,337,24395.25,12964.02,155,302528.59
2024-12-03,S109,Lucknow,P5285,Football,Sports,250,6581.25,19,No,Winter,Rainy,880,34617.61,9156.32,2647,558973.25
2024-05-16,S115,Bangalore,P7121,Sofa,Home,215,10842.48,34,No,Summer,Rainy,556,34336.75,16900.21,770,556838.17
2025-07-31,S103,Delhi,P4312,Tennis Racket,Sports,128,9714.33,33,No,Monsoon,Stormy,288,34334.47,15442.53,4104,393366.88
2024-05-15,S116,Kolkata,P1945,Sofa,Home,99,10987.02,1,Yes,Summer,Stormy,571,41006.21,11916.38,4837,351213.14
2025-07-08,S101,Mumbai,P5703,Chair,Home,235,4023.38,26,No,Monsoon,Cloudy,833,22978.32,6117.36,3192,387750.1
2024-05-01,S105,Jaipur,P3086,Sofa,Home,202,1238.24,29,No,Summer,Stormy,1139,19584.55,1602.56,3873,98412.94
2024-04-25,S101,Kolkata,P4943,Football,Sports,205,4844.68,38,No,Spring,Sunny,551,37286.51,7584.89,2019,222154.15
2024-05-23,S116,Chennai,P6224,Dress,Fashion,242,1634.8,33,No,Summer,Rainy,896,15724.55,2118.62,4946,119206.23
2025-10-20,S112,Jaipur,P7688,Snacks,Grocery,165,287.1,34,No,Autumn,Stormy,543,42617.71,409.0,1282,13324.86
2025-07-24,S116,Bangalore,P5177,Table,Home,310,2764.3,23,No,Monsoon,Sunny,1146,36504.65,3256.65,2299,375452.97
2025-08-24,S117,Hyderabad,P6455,Table,Home,81,6720.18,7,No,Monsoon,Stormy,546,35085.69,7667.73,3349,154795.81
2025-01-24,S114,Jaipur,P5285,Bread,Grocery,31,895.82,6,No,Winter,Stormy,705,45802.19,916.03,3490,7810.22
2024-05-29,S100,Chennai,P7841,Tennis Racket,Sports,266,3243.68,24,No,Summer,Rainy,1072,27981.48,4835.81,2865,198593.58
2024-05-23,S117,Ahmedabad,P1962,Dress,Fashion,79,753.69,3,No,Summer,Sunny,894,7737.08,807.47,656,22886.81
2024-03-02,S119,Lucknow,P1257,Curtains,Home,98,14333.22,1,No,Spring,Cloudy,1147,48896.49,12380.76,3627,245232.28
2024-09-03,S106,Lucknow,P6807,Yoga Mat,Sports,209,5077.92,29,No,Autumn,Rainy,512,15698.76,7855.89,760,348543.61
2025-05-02,S101,Delhi,P9189,T-Shirt,Fashion,133,3148.74,2,No,Summer,Rainy,482,45162.37,3398.35,4743,182602.29
2024-10-14,S117,Lucknow,P6152,Smartphone,Electronics,443,5289.0,25,Yes,Autumn,Sunny,662,8960.06,6502.94,3287,784553.54
2025-12-06,S102,Jaipur,P2600,Rice,Grocery,194,562.96,38,No,Winter,Stormy,718,2451.66,846.25,3790,37488.51
2025-03-18,S105,Lucknow,P5839,Chair,Home,217,7432.8,24,No,Spring,Rainy,847,16517.23,8625.62,142,676345.67
2025-03-17,S114,Jaipur,P7685,Tennis Racket,Sports,214,9101.0,5,No,Spring,Cloudy,838,1604.69,9332.29,793,542238.86
2025-01-24,S105,Bangalore,P5397,Bread,Grocery,83,94.62,17,No,Winter,Stormy,663,24727.33,99.53,2161,1835.59
2025-09-23,S106,Ahmedabad,P5991,Smartphone,Electronics,241,4650.73,21,Yes,Autumn,Stormy,735,22100.19,6458.4,4969,301543.22
2025-05-05,S110,Bangalore,P5775,Lamp,Home,156,9991.5,25,No,Summer,Cloudy,283,46671.29,12122.22,4569,688817.27
2025-12-26,S106,Ahmedabad,P7703,Rice,Grocery,195,586.32,16,No,Winter,Rainy,916,39664.76,608.79,4998,33120.93
2025-12-09,S113,Jaipur,P9796,Tablet,Electronics,176,12587.64,22,No,Winter,Rainy,140,28597.79,16840.15,3373,989930.75
2025-06-06,S116,Jaipur,P4621,Tennis Racket,Sports,227,8287.02,37,Yes,Monsoon,Rainy,756,49887.43,13086.01,2520,649941.19
2024-07-30,S116,Ahmedabad,P2599,Snacks,Grocery,82,368.48,2,No,Monsoon,Sunny,96,42609.82,392.69,1446,8919.63
2024-12-04,S117,Kolkata,P7636,Table,Home,92,15008.4,1,No,Winter,Rainy,970,30017.95,14654.43,1859,382191.87
2025-07-03,S105,Pune,P8496,Milk,Grocery,287,441.6,40,No,Monsoon,Cloudy,845,30954.11,755.21,2950,50472.84
2024-10-31,S119,Lucknow,P6131,Smartphone,Electronics,269,15744.96,23,No,Autumn,Rainy,1096,20034.7,21039.51,4808,1098447.41
2025-10-22,S105,Jaipur,P5732,Shoes,Fashion,163,1971.04,3,No,Autumn,Cloudy,69,24745.84,1846.15,3245,95859.72
2025-12-02,S115,Kolkata,P3740,Curtains,Home,164,8061.48,2,No,Winter,Cloudy,510,27342.82,7407.21,3846,300436.06
2025-07-16,S116,Mumbai,P5389,Football,Sports,159,9324.72,28,No,Monsoon,Rainy,920,6018.41,14233.42,2127,512140.46
2025-03-25,S103,Hyderabad,P6744,Dress,Fashion,152,1617.33,13,No,Spring,Rainy,171,28933.64,1877.0,4989,86755.84
2024-10-23,S118,Chennai,P3221,Football,Sports,141,11032.64,8,No,Autumn,Rainy,349,35858.35,13173.75,3317,430547.67
2025-02-28,S112,Ahmedabad,P7600,Laptop,Electronics,202,50081.58,31,No,Winter,Cloudy,55,43576.48,80141.43,863,1972391.0
2025-02-11,S106,Kolkata,P5399,Shoes,Fashion,45,2597.16,8,No,Winter,Stormy,753,44813.58,3045.1,476,30637.6
2024-01-17,S103,Bangalore,P1011,Curtains,Home,95,4310.82,19,No,Winter,Rainy,611,5573.66,5099.17,775,163951.41
2024-11-08,S107,Kolkata,P1017,Laptop,Electronics,355,28356.78,14,Yes,Winter,Stormy,69,1395.07,31425.65,1087,4130827.04
2025-01-27,S102,Mumbai,P7022,Tablet,Electronics,196,40242.93,9,No,Winter,Sunny,1136,28601.27,45686.59,1444,1839946.88
2024-06-04,S113,Lucknow,P2420,Table,Home,266,3826.6,24,No,Monsoon,Cloudy,929,16410.68,4490.96,2368,289057.34
2025-09-14,S109,Delhi,P9482,Milk,Grocery,289,790.55,3,Yes,Autumn,Rainy,1063,19908.39,751.69,4965,38799.21
2025-08-05,S113,Pune,P8717,Cricket Bat,Sports,140,609.0,16,No,Monsoon,Rainy,131,46206.39,822.59,3360,22289.42
2025-03-01,S113,Kolkata,P9808,Smartwatch,Electronics,167,17008.16,32,No,Spring,Rainy,368,27283.12,24192.09,641,1228821.06
2025-03-20,S103,Ahmedabad,P1901,Tennis Racket,Sports,86,11130.16,8,No,Spring,Sunny,385,25324.23,11541.63,4337,382792.42
2024-10-02,S103,Delhi,P5456,Snacks,Grocery,129,306.24,4,No,Autumn,Stormy,982,26028.31,276.46,4743,15912.87
2025-08-10,S103,Hyderabad,P1721,Football,Sports,253,4911.88,24,No,Monsoon,Rainy,416,46626.84,7156.13,4629,439245.98
2024-11-23,S108,Mumbai,P2956,Yoga Mat,Sports,1146,9164.26,33,No,Winter,Sunny,871,4377.4,13534.77,2412,1429438.57
2024-11-07,S119,Hyderabad,P9083,Lamp,Home,105,9032.0,0,No,Winter,Stormy,98,12416.89,8615.87,178,426346.04
2024-11-10,S103,Hyderabad,P7878,Cricket Bat,Sports,55,1983.52,2,No,Winter,Rainy,1114,21239.78,2264.19,3855,32550.44
2025-02-07,S102,Lucknow,P8126,Football,Sports,71,11552.8,20,No,Winter,Stormy,718,16584.83,13453.04,711,335618.29
2024-04-21,S104,Mumbai,P8635,Shoes,Fashion,60,3332.1,13,No,Spring,Stormy,681,23703.98,4235.0,840,41528.81
2025-12-22,S119,Delhi,P3430,Jacket,Fashion,135,2457.01,3,No,Winter,Cloudy,582,41184.39,2285.17,3412,93941.01
2024-04-06,S114,Mumbai,P1195,T-Shirt,Fashion,53,1740.0,25,No,Spring,Cloudy,222,29533.87,2152.14,714,36028.04
2024-05-11,S102,Pune,P8552,Laptop,Electronics,162,8727.75,25,No,Summer,Stormy,110,19753.74,11380.98,2999,517547.45
2024-02-05,S119,Lucknow,P5835,Cricket Bat,Sports,83,8097.56,3,No,Winter,Sunny,622,19767.75,8145.73,4407,175265.34
2024-01-20,S112,Pune,P8940,Sofa,Home,34,12216.14,11,No,Winter,Sunny,703,30258.7,11787.77,2401,86144.93
2025-01-01,S118,Hyderabad,P5060,T-Shirt,Fashion,175,2307.38,14,Yes,Winter,Stormy,776,46825.1,3078.64,1523,109929.87
2025-12-15,S111,Lucknow,P3328,Tablet,Electronics,90,63833.67,19,No,Winter,Rainy,1054,2860.22,68313.88,1892,2584085.62
2024-07-25,S104,Pune,P1975,Jacket,Fashion,170,1590.3,7,No,Monsoon,Cloudy,198,19305.95,1936.71,3340,113463.71
2024-05-19,S105,Kolkata,P3854,Lamp,Home,120,5463.45,19,No,Summer,Cloudy,310,9707.71,5736.89,4792,127695.85
2025-08-04,S101,Bangalore,P4619,Yoga Mat,Sports,394,5688.0,4,Yes,Monsoon,Rainy,760,49136.6,5334.67,826,708203.45
2024-09-12,S102,Pune,P1020,Rice,Grocery,255,368.52,26,No,Autumn,Stormy,825,18210.33,479.38,4027,29565.07
2024-02-04,S109,Delhi,P2715,Bread,Grocery,200,215.04,4,No,Winter,Sunny,742,30107.5,231.64,4054,18953.71
2024-06-17,S119,Kolkata,P2659,T-Shirt,Fashion,438,1418.95,35,Yes,Monsoon,Cloudy,626,15572.63,1918.37,3318,251038.2
2025-03-13,S102,Chennai,P4271,Dumbbell,Sports,222,8983.92,18,No,Spring,Sunny,1019,42344.68,10326.1,3356,362062.39
2025-10-19,S117,Kolkata,P7249,Jacket,Fashion,90,1460.16,28,No,Autumn,Stormy,589,12085.87,1887.19,604,55757.53
2025-07-08,S113,Lucknow,P1999,Dress,Fashion,318,3346.0,30,No,Monsoon,Rainy,1025,15643.75,4629.15,384,262537.77
2024-05-03,S114,Bangalore,P4157,Jeans,Fashion,94,619.77,27,No,Summer,Rainy,352,41871.3,787.33,648,19271.49
2024-10-09,S116,Ahmedabad,P9561,Smartwatch,Electronics,221,38398.08,36,No,Autumn,Sunny,266,28571.5,52815.19,2443,1583754.03
2025-11-01,S115,Lucknow,P1613,Dumbbell,Sports,112,6589.98,38,No,Winter,Stormy,129,20393.84,11837.38,2046,128240.65
2024-01-21,S110,Chennai,P9054,Bread,Grocery,144,134.64,28,No,Winter,Cloudy,601,36711.17,192.89,831,7495.13
2025-05-11,S116,Pune,P3604,Smartwatch,Electronics,97,12512.0,8,No,Summer,Sunny,405,10445.41,14958.35,572,379956.21
2025-12-22,S106,Chennai,P9275,Snacks,Grocery,289,575.19,23,No,Winter,Stormy,963,9701.6,830.02,4907,66649.2
2025-12-06,S102,Chennai,P1813,Headphones,Electronics,204,22662.72,14,Yes,Winter,Rainy,601,32927.78,26457.0,172,1840215.58
2024-08-17,S108,Lucknow,P7943,Bread,Grocery,173,369.2,29,No,Monsoon,Cloudy,1116,41391.23,503.96,938,17983.87
2024-10-16,S109,Mumbai,P6509,Chair,Home,161,8158.32,19,No,Autumn,Rainy,357,26347.39,9287.3,565,330790.39
2024-01-27,S115,Chennai,P7628,Snacks,Grocery,191,569.36,12,No,Winter,Cloudy,505,34629.59,673.85,3997,37240.76
2024-06-23,S117,Bangalore,P8713,Rice,Grocery,127,704.88,11,No,Monsoon,Cloudy,232,11890.42,726.26,2615,19118.99
2024-09-23,S118,Chennai,P8709,Chair,Home,100,6857.82,7,No,Autumn,Stormy,1135,15619.43,6387.5,1335,238102.85
2025-04-13,S104,Pune,P8988,T-Shirt,Fashion,176,1402.56,28,No,Spring,Cloudy,478,38298.47,1754.33,1397,101499.57
2025-03-15,S112,Kolkata,P1076,Curtains,Home,66,10580.0,20,No,Spring,Rainy,86,34160.66,13727.63,2138,248847.66
2025-05-30,S118,Chennai,P1749,T-Shirt,Fashion,254,1930.94,33,No,Summer,Cloudy,938,44510.73,3310.39,2907,196445.87
2025-02-17,S100,Hyderabad,P4460,Jeans,Fashion,251,4540.34,2,Yes,Winter,Stormy,573,38791.23,4804.15,4965,475868.75
2024-02-19,S103,Kolkata,P3024,Curtains,Home,188,3610.2,40,No,Winter,Sunny,666,21622.7,5296.73,4362,182106.51
2024-04-17,S116,Lucknow,P2867,Tablet,Electronics,145,15899.52,16,No,Spring,Rainy,783,35468.4,17765.92,422,407814.53
2025-05-07,S110,Hyderabad,P2458,Laptop,Electronics,217,13242.32,32,No,Summer,Sunny,257,45334.19,20317.24,3841,1249939.66
2024-02-10,S109,Pune,P2898,Snacks,Grocery,43,53.1,10,No,Winter,Cloudy,782,44831.85,67.06,2297,772.24
2024-04-26,S112,Kolkata,P7319,Lamp,Home,165,5947.8,8,No,Spring,Sunny,376,6081.94,7262.57,4054,241894.29
