Transaction_ID,Date,Customer_ID,Product_ID,Amount,Payment_Method,Quantity,Store_ID
TXN1000078,2024-02-01,CUST102025,P4266,12003.39,Net Banking,1,S104
TXN1000079,2024-04-27,CUST104620,P4571,306945.72,Wallet,8,S108
TXN1000080,2025-09-13,CUST105884,P2876,86929.1,Debit Card,3,S103
TXN1000081,2025-08-12,CUST105548,P7149,27245.57,Wallet,7,S106
TXN1000082,2025-10-04,CUST101989,P2669,201479.23,Wallet,5,S119
TXN1000083,2025-08-02,CUST100336,P6688,31868.47,Cash,9,S111
TXN1000084,2024-01-13,CUST103441,P9031,63631.39,Cash,2,S111
TXN1000085,2025-12-25,CUST101253,P8135,144831.42,Wallet,3,S116
TXN1000086,2025-07-05,CUST103960,P8616,94450.56,Wallet,7,S118
TXN1000087,2024-03-29,CUST102284,P8385,122222.21,Cash,4,S118
TXN1000088,2024-01-30,CUST104049,P6325,53417.3,Cash,3,S106
TXN1000089,2024-10-13,CUST104883,P5526,426674.9,UPI,9,S116
TXN1000090,2025-02-20,CUST104002,P4937,179711.28,Wallet,8,S115
TXN1000091,2024-10-28,CUST101815,P7625,74056.48,Debit Card,4,S118
TXN1000092,2024-12-18,CUST103485,P6419,81712.38,Wallet,6,S114
TXN1000093,2024-05-03,CUST105908,P4155,285292.74,UPI,6,S117
TXN1000094,2024-07-15,CUST101772,P8933,244163.45,Wallet,5,S118
TXN1000095,2024-10-16,CUST100823,P4180,301266.37,Credit Card,186,S111
TXN1000096,2024-02-16,CUST100446,P5786,575517.56,Wallet,122,S115
TXN1000097,2025-03-27,CUST102791,P4020,5792.95,Debit Card,1,S115
TXN1000098,2025-05-18,CUST100606,P1878,142384.11,Credit Card,3,S118
TXN1000099,2024-09-11,CUST100970,P7818,113617.88,Net Banking,10,S119
TXN1000100,2025-04-06,CUST103626,P5871,284746.11,Cash,10,S109
TXN1000101,2024-04-11,CUST101702,P4457,39685.74,Wallet,5,S102
TXN1000102,2024-03-17,CUST101282,P1043,164840.43,Cash,7,S119
TXN1000103,2024-10-22,CUST105791,P5632,369625.29,UPI,8,S107
TXN1000104,2025-10-02,CUST104831,P4241,79225.94,UPI,7,S117
TXN1000105,2024-09-29,CUST101165,P2169,29792.7,Credit Card,1,S109
TXN1000106,2024-10-22,CUST103597,P3037,280133.69,Wallet,8,S109
TXN1000107,2025-05-27,CUST104423,P9090,16712.43,UPI,8,S119
TXN1000108,2024-11-26,CUST104945,P5102,48099.36,UPI,1,S107
TXN1000109,2025-08-12,CUST104809,P1339,190895.7,Net Banking,5,S101
TXN1000110,2025-06-15,CUST105337,P8245,109253.3,Credit Card,5,S118
TXN1000111,2024-04-03,CUST103850,P6700,234777.63,Debit Card,7,S110
TXN1000112,2024-12-03,CUST103372,P9117,203484.73,Wallet,5,S112
TXN1000113,2025-04-10,CUST100721,P6153,242561.09,Debit Card,5,S103
TXN1000114,2025-06-10,CUST100009,P9889,75682.95,Cash,8,S101
TXN1000115,2025-05-25,CUST105123,P8242,27506.06,Credit Card,1,S108
TXN1000116,2025-03-24,CUST105720,P8941,79971.51,UPI,2,S119
TXN1000117,2024-11-14,CUST104512,P1224,101813.07,Cash,9,S102
TXN1000118,2024-04-26,CUST103780,P2924,76478.14,Cash,3,S109
TXN1000119,2025-05-09,CUST103868,P4993,153927.54,Net Banking,8,S104
TXN1000120,2025-06-04,CUST101118,P2143,233594.97,Cash,5,S110
TXN1000121,2024-01-03,CUST102317,P5891,432765.04,Net Banking,10,S115
TXN1000122,2025-05-10,CUST102827,P6446,205395.27,Net Banking,9,S112
TXN1000123,2024-07-12,CUST105713,P4912,428150.48,Cash,10,S107
TXN1000124,2024-11-21,CUST103874,P7246,173718.3,Wallet,7,S104
TXN1000125,2025-05-29,CUST104834,P6439,52689.92,Cash,2,S103
TXN1000126,2024-05-27,CUST103358,P3529,33988.41,Cash,2,S108
TXN1000127,2025-10-27,CUST100657,P6383,282395.51,Cash,9,S110
TXN1000128,2025-05-14,CUST104432,P1588,315949.35,UPI,10,S107
TXN1000129,2024-08-20,CUST100740,P8110,44479.12,Wallet,2,S103
TXN1000130,2024-01-30,CUST100376,P6314,18804.57,Debit Card,1,S111
TXN1000131,2025-06-27,CUST103375,P3950,91540.92,Credit Card,3,S102
TXN1000132,2025-11-30,CUST101972,P9153,231113.81,Credit Card,10,S107
TXN1000133,2024-09-18,CUST105462,P1153,63863.87,Debit Card,8,S117
TXN1000134,2024-12-19,CUST104813,P5901,160272.75,Wallet,7,S108
TXN1000135,2025-01-28,CUST103958,P2747,72048.25,Cash,4,S118
TXN1000136,2025-12-17,CUST102418,P1359,198379.01,Debit Card,7,S100
TXN1000137,2024-02-20,CUST104967,P9138,200582.02,Credit Card,5,S119
TXN1000138,2024-07-13,CUST105086,P5106,135539.53,Wallet,3,S103
TXN1000139,2024-11-12,CUST103611,P1546,45976.55,Debit Card,10,S104
TXN1000140,2025-03-01,CUST101438,P4289,79768.6,Net Banking,3,S111
TXN1000141,2024-06-17,CUST102105,P8894,201156.02,Wallet,5,S110
TXN1000142,2024-03-18,CUST101153,P4696,32242.79,Net Banking,7,S111
TXN1000143,2024-09-27,CUST104395,P3024,234156.39,Debit Card,8,S108
TXN1000144,2025-01-15,CUST100887,P4830,353786.55,UPI,8,S119
TXN1000145,2025-09-16,CUST101813,P2035,259976.39,Wallet,8,S109
TXN1000146,2024-02-16,CUST100304,P5986,94532.17,UPI,8,S103
TXN1000147,2025-02-01,CUST103716,P7078,334253.01,Cash,9,S118
TXN1000148,2025-02-28,CUST105365,P2622,375669.98,Net Banking,8,S113
TXN1000149,2025-12-07,CUST103035,P4559,342295.72,Cash,8,S107
TXN1000150,2025-12-03,CUST103009,P9920,83198.9,UPI,6,S112
TXN1000151,2025-04-10,CUST100750,P4475,393610.5,UPI,10,S101
TXN1000152,2024-05-08,CUST104625,P4362,58721.03,Net Banking,2,S106
TXN1000153,2024-08-26,CUST102691,P3417,429344.66,UPI,10,S108
TXN1000154,2024-05-13,CUST104425,P5106,20030.94,UPI,3,S100
TXN1000155,2024-08-31,CUST104823,P6304,2714.71,Credit Card,1,S108
TXN1000156,2025-06-22,CUST100931,P2041,205684.59,Cash,8,S111
TXN1000157,2025-05-30,CUST101814,P1710,289824.3,Debit Card,9,S114
TXN1000158,2025-05-05,CUST103290,P7984,7534.37,Cash,2,S114
TXN1000159,2025-09-14,CUST101215,P2076,95071.59,Debit Card,3,S119
TXN1000160,2024-11-28,CUST103120,P9692,151553.98,Cash,5,S116
TXN1000161,2025-12-19,CUST100937,P4522,145245.08,Cash,7,S107
TXN1000162,2025-02-12,CUST103407,P2557,199733.29,Cash,6,S110
TXN1000163,2024-06-05,CUST105626,P8770,9504.36,UPI,2,S102
TXN1000164,2025-01-16,CUST101065,P1982,165493.34,Net Banking,10,S117
TXN1000165,2024-12-28,CUST105450,P7929,15691.2,Debit Card,1,S119
TXN1000166,2025-06-03,CUST101742,P3535,140565.51,Credit Card,8,S103
TXN1000167,2024-04-27,CUST102282,P4705,215021.15,Net Banking,7,S119
TXN1000168,2024-01-27,CUST104988,P5381,35164.67,Credit Card,1,S108
TXN1000169,2024-12-13,CUST102875,P1100,98704.49,Credit Card,3,S118
TXN1000170,2025-10-10,CUST100251,P2503,189446.77,Credit Card,9,S112
TXN1000171,2025-01-13,CUST102552,P6314,441787.75,Net Banking,10,S102
TXN1000172,2025-09-24,CUST100407,P2336,121672.6,Cash,5,S113
TXN1000173,2024-10-06,CUST101765,P9394,11266.8,Debit Card,2,S113
TXN1000174,2025-08-30,CUST103986,P9633,99118.22,UPI,5,S107
TXN1000175,2024-01-08,CUST101674,P5938,58173.65,Credit Card,4,S108
TXN1000176,2025-05-24,CUST103527,P3878,105639.59,Cash,3,S117
TXN1000177,2025-11-15,CUST102901,P2180,153071.5,Wallet,7,S101
TXN1000178,2024-03-20,CUST102564,P8033,145468.09,Cash,10,S113
TXN1000179,2024-11-28,CUST101407,P8538,253438.62,UPI,6,S113
TXN1000180,2025-08-26,CUST103280,P9584,74631.32,Cash,2,S109
TXN1000181,2024-06-21,CUST100625,P9363,19551.59,Net Banking,2,S116
TXN1000182,2024-12-25,CUST105958,P3419,51491.26,UPI,4,S104
TXN1000183,2024-06-05,CUST105369,P2234,69753.77,Wallet,3,S115
TXN1000184,2025-08-16,CUST103677,P6295,21044.91,Credit Card,6,S114
TXN1000185,2024-11-06,CUST102250,P1920,93536.11,Net Banking,6,S102
TXN1000186,2024-02-28,CUST103020,P5703,61577.84,Wallet,2,S102
TXN1000187,2025-04-18,CUST104754,P1672,129153.48,Net Banking,8,S106
TXN1000188,2024-06-03,CUST100506,P8381,50553.99,Debit Card,2,S102
TXN1000189,2024-09-10,CUST105796,P8172,244234.32,Net Banking,8,S116
TXN1000190,2024-10-16,CUST103173,P7697,16278.24,Wallet,6,S119
TXN1000191,2024-12-08,CUST100539,P6401,28557.87,Net Banking,2,S112
TXN1000192,2025-11-03,CUST104937,P3463,199285.46,UPI,6,S118
TXN1000193,2024-11-13,CUST105374,P7421,46644.41,Net Banking,3,S102
TXN1000194,2024-12-02,CUST101046,P9624,50947.15,Wallet,2,S113
TXN1000195,2024-11-12,CUST101476,P4509,68426.99,Cash,6,S106
TXN1000196,2024-03-20,CUST102423,P2657,17852.4,Net Banking,9,S116
TXN1000197,2025-09-24,CUST101073,P7172,124752.35,Credit Card,3,S105
TXN1000198,2024-06-18,CUST105907,P8170,33850.51,Cash,1,S111
TXN1000199,2025-03-30,CUST105001,P5668,96276.06,Credit Card,8,S117
TXN1000200,2025-04-25,CUST101589,P7026,384949.84,Cash,10,S114
TXN1000201,2025-05-29,CUST104320,P7859,21018.26,Credit Card,3,S119
TXN1000202,2025-10-18,CUST103936,P7081,383158.67,UPI,9,S116
TXN1000203,2024-06-13,CUST102234,P8361,42088.56,Credit Card,9,S113
TXN1000204,2025-04-06,CUST102863,P1436,176051.09,UPI,7,S112
TXN1000205,2024-03-24,CUST103071,P4678,41974.9,Debit Card,1,S103
TXN1000206,2024-05-29,CUST101127,P1627,189830.87,Cash,5,S104
TXN1000207,2025-09-22,CUST100043,P2298,41764.66,Debit Card,1,S106
TXN1000208,2025-09-15,CUST104323,P7934,30254.89,Debit Card,2,S107
TXN1000209,2025-03-05,CUST105234,P8489,59754.56,UPI,2,S115
TXN1000210,2025-06-11,CUST104710,P4963,534.18,Debit Card,3,S113
TXN1000211,2025-08-07,CUST103412,P4068,6954.4,Net Banking,2,S111
TXN1000212,2025-06-03,CUST104158,P1333,222739.81,Cash,7,S101
TXN1000213,2024-09-16,CUST100133,P6850,73347.51,Debit Card,2,S107
TXN1000214,2025-08-18,CUST102723,P3185,16993.51,Debit Card,1,S117
TXN1000215,2025-12-02,CUST103806,P8840,107491.95,Credit Card,3,S102
TXN1000216,2024-02-07,CUST102403,P4302,15848.23,Credit Card,1,S101
TXN1000217,2025-02-11,CUST104448,P8756,71884.67,UPI,5,S106
TXN1000218,2024-02-18,CUST105371,P6438,109519.37,UPI,5,S111
TXN1000219,2025-03-26,CUST103167,P6554,55291.83,Cash,3,S115
TXN1000220,2024-09-30,CUST100676,P7955,99510.8,Cash,2,S119
TXN1000221,2024-10-27,CUST102631,P2680,30788.29,Debit Card,2,S109
TXN1000222,2025-03-12,CUST101365,P8272,218208.23,Cash,6,S101
TXN1000223,2025-09-21,CUST103563,P5498,18229.23,UPI,1,S112
TXN1000224,2025-11-26,CUST101310,P1510,5509.41,Net Banking,3,S114
TXN1000225,2025-10-22,CUST103000,P6933,212059.62,Net Banking,7,S101
TXN1000226,2025-01-14,CUST103047,P8273,53040.1,Net Banking,2,S104
TXN1000227,2025-10-27,CUST102283,P5089,50004.59,UPI,2,S105
TXN1000228,2025-07-29,CUST100964,P5288,54035.32,Wallet,5,S114
TXN1000229,2025-12-11,CUST104023,P4279,45313.86,Credit Card,2,S102
TXN1000230,2025-03-31,CUST100719,P6236,165269.15,Wallet,6,S102
TXN1000231,2024-11-03,CUST101290,P3852,36935.92,Net Banking,6,S107
TXN1000232,2024-05-22,CUST101939,P9094,28656.64,Debit Card,1,S117
TXN1000233,2025-07-18,CUST101063,P2412,99959.59,Debit Card,2,S112
TXN1000234,2025-06-22,CUST103365,P7708,486217.49,UPI,10,S104
TXN1000235,2025-04-05,CUST103816,P9476,192154.3,Credit Card,6,S117
TXN1000236,2024-05-12,CUST103544,P9238,7735.47,UPI,1,S116
TXN1000237,2024-11-26,CUST105810,P4694,253872.55,Net Banking,6,S109
TXN1000238,2025-10-12,CUST104512,P5496,92279.91,Wallet,3,S109
TXN1000239,2025-10-18,CUST101381,P3526,108178.73,Wallet,3,S119
TXN1000240,2025-07-31,CUST100337,P1464,26612.66,UPI,2,S118
TXN1000241,2025-08-08,CUST103412,P1496,116436.93,Wallet,8,S117
TXN1000242,2025-05-09,CUST102006,P7653,172309.09,Cash,5,S102
TXN1000243,2025-03-01,CUST103966,P8609,29076.27,Debit Card,4,S119
TXN1000244,2024-11-22,CUST102829,P7532,84379.19,Debit Card,3,S116
TXN1000245,2025-04-22,CUST101003,P5382,39447.21,Credit Card,8,S104
TXN1000246,2025-01-28,CUST105041,P7850,186776.81,Credit Card,4,S110
TXN1000247,2024-07-13,CUST101305,P9163,395692.88,Cash,9,S115
TXN1000248,2024-04-02,CUST103221,P9281,233670.97,Credit Card,8,S106
TXN1000249,2024-10-15,CUST104054,P8710,211869.51,Net Banking,5,S100
TXN1000250,2024-09-27,CUST105959,P6992,140623.16,Debit Card,7,S101
TXN1000251,2024-07-18,CUST102969,P5728,45145.37,Cash,2,S116
TXN1000252,2025-09-30,CUST105573,P2946,56167.79,UPI,3,S112
TXN1000253,2025-07-25,CUST102995,P3363,80516.86,Net Banking,4,S116
TXN1000254,2024-02-09,CUST101122,P6456,60257.11,Net Banking,8,S114
TXN1000255,2024-05-23,CUST102686,P6218,110976.11,Cash,3,S119
TXN1000256,2024-12-10,CUST104155,P9351,135535.94,Cash,9,S118
TXN1000257,2025-01-12,CUST102713,P2795,279006.46,Net Banking,7,S109
TXN1000258,2025-12-05,CUST105154,P1436,483568.28,Cash,10,S108
TXN1000259,2025-08-15,CUST104731,P4728,8608.55,Net Banking,1,S115
TXN1000260,2025-09-26,CUST103114,P3421,189661.75,UPI,4,S118
TXN1000261,2024-01-20,CUST103612,P6139,241891.74,Credit Card,7,S113
TXN1000262,2025-09-18,CUST103863,P2020,84264.75,Net Banking,3,S106
TXN1000263,2025-05-04,CUST104304,P7173,273689.97,Credit Card,6,S114
TXN1000264,2024-12-28,CUST105536,P5331,478711.36,Cash,10,S106
TXN1000265,2024-11-01,CUST101842,P5876,172714.86,Wallet,5,S106
TXN1000266,2025-05-06,CUST102857,P5480,169317.25,UPI,5,S118
TXN1000267,2025-02-08,CUST102827,P3399,238850.77,UPI,5,S109
TXN1000268,2025-03-28,CUST105373,P5201,331318.32,Credit Card,8,S106
TXN1000269,2025-07-29,CUST105703,P5450,111211.38,UPI,3,S119
TXN1000270,2024-02-21,CUST105487,P9700,10877.22,Wallet,4,S107
TXN1000271,2025-04-28,CUST100823,P3252,20404.68,Net Banking,1,S105
TXN1000272,2025-05-02,CUST103911,P4267,161651.53,Debit Card,5,S109
TXN1000273,2024-04-01,CUST105343,P4804,411031.47,Wallet,9,S101
TXN1000274,2024-06-29,CUST100297,P7504,682226.37,Credit Card,195,S109
TXN1000275,2024-12-09,CUST102331,P8444,400266.65,Net Banking,9,S115
TXN1000276,2025-05-31,CUST103834,P5470,32833.85,UPI,4,S110
TXN1000277,2024-09-20,CUST105886,P4050,39559.31,Wallet,1,S110
TXN1000278,2024-07-16,CUST101437,P7643,30997.5,Net Banking,7,S110
TXN1000279,2024-07-08,CUST101151,P8822,78679.11,Credit Card,6,S100
TXN1000280,2024-09-30,CUST102700,P5947,6706.43,Wallet,10,S118
TXN1000281,2025-12-10,CUST101935,P2017,16139.74,Cash,2,S109
TXN1000282,2025-12-21,CUST102547,P2923,55601.89,Debit Card,5,S119
TXN1000283,2025-05-04,CUST101254,P8454,351268.42,Debit Card,10,S113
TXN1000284,2025-07-04,CUST105440,P4578,174677.76,Wallet,4,S119
TXN1000285,2025-04-02,CUST104326,P6927,6363.45,Net Banking,2,S103
TXN1000286,2025-06-01,CUST101656,P9792,128216.56,Credit Card,3,S110
TXN1000287,2025-11-27,CUST101682,P9008,80907.47,Net Banking,2,S114
TXN1000288,2025-06-09,CUST103403,P8484,231726.77,UPI,10,S117
TXN1000289,2024-01-23,CUST103243,P5169,28957.73,Wallet,1,S106
TXN1000290,2024-12-18,CUST105737,P2044,443774.24,UPI,9,S102
TXN1000291,2024-10-20,CUST103349,P3948,56356.8,Wallet,3,S113
TXN1000292,2025-04-04,CUST103092,P7154,13472.38,Wallet,2,S117
TXN1000293,2024-05-01,CUST101462,P9802,254940.85,Net Banking,7,S104
TXN1000294,2024-01-04,CUST100186,P5888,170111.91,Wallet,8,S117
TXN1000295,2024-08-23,CUST102027,P8546,57031.05,Credit Card,6,S108
TXN1000296,2024-04-25,CUST100263,P7868,103834.73,UPI,10,S107
TXN1000297,2024-02-04,CUST103657,P1797,80692.16,Wallet,4,S101
TXN1000298,2024-08-10,CUST100462,P3295,367269.61,Debit Card,9,S107
TXN1000299,2024-11-22,CUST104730,P6253,197144.83,Debit Card,4,S104
TXN1000300,2025-02-27,CUST102461,P5508,43997.72,Net Banking,1,S118
TXN1000301,2025-10-03,CUST105560,P7999,437555.54,Cash,9,S101
TXN1000302,2025-11-18,CUST103122,P9592,122832.8,Wallet,6,S113
TXN1000303,2024-07-07,CUST104406,P8758,171565.23,Credit Card,4,S109
TXN1000304,2025-04-19,CUST100472,P7761,47538.6,Net Banking,7,S116
TXN1000305,2024-07-27,CUST102705,P2295,214625.71,Debit Card,8,S102
TXN1000306,2024-02-22,CUST102199,P7179,436936.61,Net Banking,10,S101
TXN1000307,2025-08-24,CUST105933,P4555,121832.66,Credit Card,8,S110
TXN1000308,2024-08-04,CUST101556,P2922,281744.42,Credit Card,8,S119
TXN1000309,2024-09-02,CUST104522,P6269,133645.71,Cash,5,S114
TXN1000310,2024-09-24,CUST102946,P9401,321284.4,Cash,8,S103
TXN1000311,2024-11-23,CUST101664,P7073,169019.9,Cash,6,S101
TXN1000312,2024-05-29,CUST100132,P5272,324257.36,Net Banking,9,S118
TXN1000313,2024-07-19,CUST102702,P4768,175106.01,Net Banking,7,S107
TXN1000314,2025-12-02,CUST102765,P5216,184762.94,Wallet,8,S115
TXN1000315,2024-12-26,CUST101386,P3293,412679.52,Cash,9,S105
TXN1000316,2025-10-19,CUST100481,P9584,38240.51,UPI,1,S101
TXN1000317,2025-10-07,CUST101895,P2113,76008.22,UPI,3,S106
TXN1000318,2025-09-24,CUST105224,P8916,213259.22,UPI,8,S100
TXN1000319,2024-01-18,CUST104336,P5501,226445.22,Debit Card,9,S100
TXN1000320,2025-03-16,CUST101468,P2753,24248.69,Net Banking,2,S104
TXN1000321,2024-09-15,CUST102903,P5379,335782.72,UPI,7,S111
TXN1000322,2024-09-06,CUST105711,P4700,163607.06,Wallet,5,S102
TXN1000323,2024-02-02,CUST100765,P7640,166968.58,Cash,7,S117
TXN1000324,2025-12-20,CUST101403,P2354,226689.97,Cash,8,S110
TXN1000325,2024-04-07,CUST104326,P1697,95309.86,Credit Card,4,S118
TXN1000326,2024-03-17,CUST105606,P5593,81448.11,Net Banking,9,S101
TXN1000327,2024-01-17,CUST101697,P3362,57443.87,UPI,7,S109
TXN1000328,2025-02-02,CUST105546,P9856,237275.13,Cash,6,S104
TXN1000329,2024-03-21,CUST104102,P6666,11683.99,UPI,1,S113
TXN1000330,2025-09-11,CUST105028,P7499,235194.31,UPI,6,S108
TXN1000331,2024-08-21,CUST102914,P7150,231472.7,Credit Card,7,S118
TXN1000332,2025-09-25,CUST102419,P5037,15591.25,UPI,2,S108
TXN1000333,2025-10-11,CUST101263,P7383,28001.22,Debit Card,6,S103
TXN1000334,2025-03-31,CUST102948,P5419,18901.7,Credit Card,2,S102
TXN1000335,2025-07-22,CUST104197,P7685,35520.65,UPI,2,S102
TXN1000336,2025-09-04,CUST102657,P7311,19451.2,Debit Card,1,S113
TXN1000337,2025-07-26,CUST101988,P9537,25674.41,Wallet,3,S112
TXN1000338,2024-10-01,CUST104039,P3390,27740.99,Credit Card,2,S113
TXN1000339,2024-03-19,CUST102958,P5123,118923.76,Wallet,4,S115
TXN1000340,2024-04-19,CUST101109,P5991,42096.51,Cash,1,S110
TXN1000341,2024-12-03,CUST103606,P6484,48248.28,Wallet,7,S119
TXN1000342,2025-12-12,CUST101645,P8848,290636.33,Credit Card,6,S112
TXN1000343,2025-12-12,CUST105184,P9044,188651.6,Credit Card,10,S110
TXN1000344,2025-02-06,CUST102990,P2865,498635.2,Credit Card,10,S118
TXN1000345,2025-07-17,CUST100220,P8563,166323.85,Cash,4,S109
TXN1000346,2025-02-22,CUST105513,P9180,36530.57,Wallet,3,S109
TXN1000347,2025-03-09,CUST103088,P2211,233231.81,Net Banking,8,S115
TXN1000348,2025-12-09,CUST103426,P9907,29731.62,Debit Card,1,S117
TXN1000349,2024-04-21,CUST102033,P6816,6931.22,Wallet,3,S119
TXN1000350,2025-11-24,CUST105298,P7547,3758.0,Cash,6,S103
TXN1000351,2025-06-06,CUST104249,P4621,185654.83,Debit Card,8,S112
TXN1000352,2025-12-08,CUST104099,P3469,31902.08,UPI,6,S115
TXN1000353,2024-03-28,CUST100950,P3321,136926.59,Debit Card,6,S110
TXN1000354,2025-05-09,CUST102853,P8801,32027.17,Cash,2,S114
